Time, fixType, gnssFixOk, headVehValid, invalid_llh, latitude, longitude, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError, index,Lat,Lon
4/13/2025 14:37,3,1,0,0,334924786,-820053667,25,597,26847688,0,5.48,265.69,267.8,-0.01,-0.68,3.82,0,33.4924786,-82.0053667
4/13/2025 14:37,3,1,0,0,334924784,-820053734,25,599,26923450,0,4.86,265.4,268.27,-0.02,-0.97,3.36,0,33.4924784,-82.0053734
4/13/2025 14:37,3,1,0,0,334924782,-820053801,25,602,26905604,0,4.24,265.03,268.27,-0.02,-0.79,3.36,0,33.4924782,-82.0053801
4/13/2025 14:37,3,1,0,0,334924780,-820053868,25,605,26980714,0,3.62,264.53,268.27,-0.02,-1.54,3.36,0,33.492478,-82.0053868
4/13/2025 14:37,3,1,0,0,334924778,-820053933,25,575,26750684,0,3.01,263.86,266.39,-0.01,-1.11,3.36,0,33.4924778,-82.0053933
4/13/2025 14:37,3,1,0,0,334924774,-820053998,25,597,26720170,0,2.41,263.37,266.33,-0.02,-0.87,3.36,0,33.4924774,-82.0053998
4/13/2025 14:37,3,1,0,0,334924773,-820054062,26,590,26949312,0,1.82,261.56,266.33,-0.03,-3.16,3.36,0,33.4924773,-82.0054062
4/13/2025 14:37,3,1,0,0,334924772,-820054119,26,492,26707658,0,18.06,282.26,263.49,0.1,-3.59,1.95,1,33.4924772,-82.0054119
4/13/2025 14:37,3,1,0,0,334924766,-820054161,26,356,25624386,0,17.7,282.74,278.86,0.02,22.62,1.95,1,33.4924766,-82.0054161
4/13/2025 14:37,3,1,0,0,334924763,-820054192,26,257,26563822,0,17.43,283.06,286.8,-0.02,21.16,1.95,1,33.4924763,-82.0054192
4/13/2025 14:37,3,1,0,0,334924771,-820054234,26,460,28587426,0,17.03,283.06,284.74,-0.01,-1.14,1.95,1,33.4924771,-82.0054234
4/13/2025 14:37,3,1,0,0,334924783,-820054286,26,524,28602340,0,16.53,282.99,284.11,-0.01,-1.91,1.95,1,33.4924783,-82.0054286
4/13/2025 14:37,3,1,0,0,334924797,-820054343,27,564,28569870,0,15.98,282.87,283.92,-0.01,-1.77,1.95,1,33.4924797,-82.0054343
4/13/2025 14:37,3,1,0,0,334924811,-820054403,27,579,28502874,0,15.4,282.77,283.92,-0.01,-1.1,1.95,1,33.4924811,-82.0054403
4/13/2025 14:37,3,1,0,0,334924825,-820054465,27,584,28510742,0,14.8,282.67,283.92,-0.01,-1.18,1.95,1,33.4924825,-82.0054465
4/13/2025 14:37,3,1,0,0,334924839,-820054527,27,592,28485824,0,14.21,282.57,283.92,-0.01,-0.93,1.95,1,33.4924839,-82.0054527
4/13/2025 14:37,3,1,0,0,334924853,-820054590,27,601,28519602,0,13.6,282.47,283.92,-0.01,-1.27,1.95,1,33.4924853,-82.005459
4/13/2025 14:37,3,1,0,0,334924868,-820054653,27,598,28551730,0,13,282.3,280.9,0.01,-4.62,4.97,1,33.4924868,-82.0054653
4/13/2025 14:37,3,1,0,0,334924882,-820054715,27,596,28504380,0,12.4,282.17,280.9,0.01,-4.14,4.97,1,33.4924882,-82.0054715
4/13/2025 14:37,3,1,0,0,334924897,-820054778,27,602,28512910,0,11.8,281.97,280.9,0.01,-4.23,4.97,1,33.4924897,-82.0054778
4/13/2025 14:37,3,1,0,0,334924911,-820054841,27,602,28529436,0,11.19,281.81,280.9,0.01,-4.39,4.97,1,33.4924911,-82.0054841
4/13/2025 14:37,3,1,0,0,334924926,-820054904,27,601,28545484,0,10.59,281.58,280.9,0,-4.55,4.97,1,33.4924926,-82.0054904
4/13/2025 14:37,3,1,0,0,334924938,-820054971,27,602,28571414,0,9.95,281.54,280.9,0,-4.81,4.97,1,33.4924938,-82.0054971
4/13/2025 14:37,3,1,0,0,334924950,-820055038,27,600,28582620,0,9.31,281.5,280.9,0,-4.93,4.97,1,33.492495,-82.0055038
4/13/2025 14:37,3,1,0,0,334924961,-820055105,27,604,28468256,0,8.68,281.53,280.9,0,-3.78,4.97,1,33.4924961,-82.0055105
4/13/2025 14:37,3,1,0,0,334924972,-820055172,27,601,28517698,0,8.05,281.56,280.9,0,-4.28,4.97,1,33.4924972,-82.0055172
4/13/2025 14:37,3,1,0,0,334924984,-820055239,27,608,28544990,0,7.41,281.51,280.9,0,-4.55,4.97,1,33.4924984,-82.0055239
