Time, fixType, gnssFixOk, headVehValid, invalid_llh, Lat, Lon, SIV, groundSpeed, headingMotion, headingVehicle, distanceBetween, targetHeading, currentHeading, headingError, gpsError, averageGPSError
3/29/2025 23:11:24, 3, 1, 0, 0, 334926507, -820052861, 29, 542, 35505396, 0, 4.34, 354.85, 352.44, 0.01, -2.61, -87.01
3/29/2025 23:11:25, 3, 1, 0, 0, 334926555, -820052866, 29, 541, 35537260, 0, 3.81, 354.83, 352.44, 0.01, -2.93, -87.01
3/29/2025 23:11:26, 3, 1, 0, 0, 334926603, -820052871, 29, 539, 35665056, 0, 3.27, 354.80, 352.44, 0.01, -4.21, -87.01
3/29/2025 23:11:28, 3, 1, 0, 0, 334926700, -820052878, 29, 548, 35734660, 0, 2.19, 353.93, 352.44, 0.01, -4.90, -87.01
3/29/2025 23:11:29, 3, 1, 0, 0, 334926748, -820052880, 29, 541, 35828844, 0, 1.66, 352.62, 356.45, -0.02, -1.84, -91.01
3/29/2025 23:11:30, 3, 1, 0, 0, 334926788, -820052882, 29, 413, 35849768, 0, 7.04, 333.63, 356.48, -0.13, -2.02, -92.85
3/29/2025 23:11:30, 3, 1, 0, 0, 334926788, -820052882, 29, 413, 35849768, 0, 7.04, 333.63, 337.10, -0.02, -21.40, -92.85
3/29/2025 23:11:33, 3, 1, 0, 0, 334926878, -820052909, 29, 432, 33206440, 0, 6.03, 331.54, 330.54, 0.01, -1.53, -92.85
3/29/2025 23:11:34, 3, 1, 0, 0, 334926916, -820052935, 29, 506, 33152566, 0, 5.55, 331.65, 329.60, 0.01, -1.92, -92.85
3/29/2025 23:11:35, 3, 1, 0, 0, 334926957, -820052963, 29, 536, 33157236, 0, 5.02, 331.79, 329.60, 0.01, -1.97, -92.85
3/29/2025 23:11:36, 3, 1, 0, 0, 334926999, -820052991, 29, 536, 33277674, 0, 4.49, 331.89, 329.60, 0.01, -3.18, -92.85
3/29/2025 23:11:37, 3, 1, 0, 0, 334927043, -820053017, 30, 543, 33427302, 0, 3.94, 331.63, 329.60, 0.01, -4.67, -92.85
3/29/2025 23:11:38, 3, 1, 0, 0, 334927087, -820053043, 30, 542, 33514906, 0, 3.40, 331.29, 329.60, 0.01, -5.55, -92.85
3/29/2025 23:11:39, 3, 1, 0, 0, 334927132, -820053068, 30, 550, 33593112, 0, 2.85, 330.55, 329.60, 0.01, -6.33, -92.85
3/29/2025 23:11:40, 3, 1, 0, 0, 334927178, -820053092, 30, 549, 33646060, 0, 2.29, 329.10, 329.60, -0.00, -6.86, -92.85
3/29/2025 23:11:41, 3, 1, 0, 0, 334927223, -820053114, 30, 544, 33726096, 0, 1.76, 326.44, 335.12, -0.05, -2.14, -98.37
3/29/2025 23:11:42, 3, 1, 0, 0, 334927262, -820053133, 30, 429, 33820872, 0, 6.70, 306.34, 330.01, -0.13, -8.20, -100.51
3/29/2025 23:11:43, 3, 1, 0, 0, 334927293, -820053151, 30, 355, 32971966, 0, 6.37, 304.73, 309.82, -0.03, -19.90, -100.51
3/29/2025 23:11:44, 3, 1, 0, 0, 334927316, -820053173, 30, 323, 31950824, 0, 6.05, 303.84, 302.82, 0.01, -16.68, -100.51
3/29/2025 23:11:45, 3, 1, 0, 0, 334927340, -820053208, 30, 461, 30479034, 0, 5.63, 303.42, 301.70, 0.01, -3.09, -100.51
3/29/2025 23:11:46, 3, 1, 0, 0, 334927366, -820053252, 30, 521, 30404528, 0, 5.13, 303.23, 301.76, 0.01, -2.28, -100.51
3/29/2025 23:11:47, 3, 1, 0, 0, 334927394, -820053300, 30, 556, 30516480, 0, 4.59, 303.03, 301.76, 0.01, -3.40, -100.51
3/29/2025 23:11:48, 3, 1, 0, 0, 334927424, -820053348, 30, 557, 30629916, 0, 4.04, 302.50, 301.76, 0.00, -4.54, -100.51
3/29/2025 23:11:49, 3, 1, 0, 0, 334927455, -820053395, 30, 557, 30826020, 0, 3.48, 301.57, 301.76, -0.00, -6.50, -100.51
3/29/2025 23:11:50, 3, 1, 0, 0, 334927486, -820053442, 30, 566, 30884114, 0, 2.93, 300.29, 301.76, -0.01, -7.08, -100.51
3/29/2025 23:11:51, 3, 1, 0, 0, 334927519, -820053489, 30, 556, 30906252, 0, 2.37, 297.95, 301.76, -0.02, -7.30, -100.51
3/29/2025 23:11:52, 3, 1, 0, 0, 334927551, -820053535, 30, 562, 30948164, 0, 1.83, 294.37, 307.52, -0.07, -1.96, -108.40
3/29/2025 23:11:53, 3, 1, 0, 0, 334927583, -820053581, 30, 548, 30902714, 0, 7.64, 273.92, 299.79, -0.14, -9.23, -110.36
3/29/2025 23:11:53, 3, 1, 0, 0, 334927583, -820053581, 30, 548, 30902714, 0, 7.64, 273.92, 277.42, -0.02, -31.61, -110.36
4/8/21442 0:0:15, 129, 204, 154, 100, 1065989420, 1564889766, 2, 0, 1073741824, 536870928, 5473063.03, 69.91, 271.04, 0.88, -10466.37, -110.36
4/8/21442 0:0:15, 129, 204, 154, 100, 1065989420, 1564889766, 2, 0, 1073741824, 536870928, 5473063.03, 69.91, 88.97, -0.11, -10648.44, -132.79
4/8/21442 0:0:15, 129, 204, 154, 100, 1065989420, 1564889766, 2, 0, 1073741824, 536870928, 5473063.03, 69.91, 73.29, -0.02, -10664.13, -132.79
3/29/2025 23:12:9, 3, 1, 0, 0, 334927687, -820053811, 30, 309, 6866908, 0, 5.53, 263.41, 66.60, -0.91, -2.07, -132.79
3/29/2025 23:12:9, 3, 1, 0, 0, 334927687, -820053811, 30, 309, 6866908, 0, 5.53, 263.41, 148.92, 0.64, 80.25, -15.05
3/29/2025 23:12:9, 3, 1, 0, 0, 334927687, -820053811, 30, 309, 6866908, 0, 5.53, 263.41, 260.17, 0.02, 191.50, -15.05
3/29/2025 23:12:27, 3, 1, 0, 0, 334927813, -820054050, 29, 181, 2140377, 0, 3.86, 238.13, 271.17, -0.18, 249.77, -15.05
3/29/2025 23:12:27, 3, 1, 0, 0, 334927813, -820054050, 29, 181, 2140377, 0, 3.86, 238.13, 53.93, -0.98, 32.52, -187.55
3/29/2025 23:12:27, 3, 1, 0, 0, 334927813, -820054050, 29, 181, 2140377, 0, 3.86, 238.13, 208.90, 0.16, 187.50, -155.03
3/29/2025 23:12:27, 3, 1, 0, 0, 334927813, -820054050, 29, 181, 2140377, 0, 3.86, 238.13, 234.78, 0.02, 213.37, -155.03
3/29/2025 23:12:44, 3, 1, 0, 0, 334927886, -820054244, 29, 338, 24401182, 0, 3.21, 207.38, 243.47, -0.20, -0.55, -155.03
3/29/2025 23:12:44, 3, 1, 0, 0, 334927886, -820054244, 29, 338, 24401182, 0, 3.21, 207.38, 210.84, -0.02, -33.17, -155.03
3/29/2025 23:12:48, 3, 1, 0, 0, 334927806, -820054379, 29, 485, 22057676, 0, 1.97, 186.49, 203.84, -0.10, -16.74, -155.03
3/29/2025 23:12:49, 3, 1, 0, 0, 334927773, -820054409, 30, 442, 21733372, 0, 7.85, 242.40, 247.62, -0.03, 30.29, -212.62
3/29/2025 23:12:50, 3, 1, 0, 0, 334927740, -820054429, 30, 391, 20545294, 0, 7.52, 244.22, 241.56, 0.01, 36.11, -212.62
3/29/2025 23:12:51, 3, 1, 0, 0, 334927700, -820054446, 30, 510, 19862842, 0, 7.19, 246.87, 240.56, 0.04, 41.93, -212.62
3/29/2025 23:12:52, 3, 1, 0, 0, 334927655, -820054463, 30, 531, 19806860, 0, 6.86, 250.20, 246.69, 0.02, 48.62, -212.62
